,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
857,"frozenset({'homeowner_Y', 'gender_M', 'education_Partial College'})",frozenset({'yearly_income_$30K - $50K'}),0.02736175587670806,0.3291722029931705,0.019219938430581302,0.7024380495603518,2.13395311989611,0.01021320897088398,2.2544138994104608,0.5463348241017035
858,"frozenset({'recyclable_N', 'gender_M', 'education_Partial College'})",frozenset({'yearly_income_$30K - $50K'}),0.02054318881470667,0.3291722029931705,0.014943980577746428,0.7274421080649455,2.209913539023944,0.008181733859104773,2.461230501322909,0.5589767744041269
859,"frozenset({'gender_M', 'education_Partial College', 'recyclable_Y'})",frozenset({'yearly_income_$30K - $50K'}),0.02578697856006299,0.3291722029931705,0.018842648031801752,0.7307039864291772,2.21982287624796,0.01035429149064816,2.491042433609612,0.5640589842117025
860,"frozenset({'low_fat_N', 'gender_M', 'education_Partial College'})",frozenset({'yearly_income_$30K - $50K'}),0.03030352739182975,0.3291722029931705,0.022003138618679703,0.7260916636593288,2.205810992109784,0.012028059748647218,2.449095949283168,0.5637351647553736
861,"frozenset({'gender_M', 'education_Partial College', 'yearly_income_$30K - $50K'})",frozenset({'low_fat_N'}),0.03378662860954818,0.6473100288162377,0.022003138618679703,0.6512380644117172,1.0060682446132696,0.00013271507982954775,1.0112627990461567,0.006242558120131066
862,"frozenset({'gender_M', 'low_fat_Y', 'education_Partial College'})",frozenset({'yearly_income_$30K - $50K'}),0.016026639982939912,0.3291722029931705,0.011783489990868479,0.7352439440464006,2.2336149205820246,0.006507965601105719,2.533758083797703,0.561290860857559
863,"frozenset({'gender_M', 'education_Partial High School', 'yearly_income_$30K - $50K'})",frozenset({'low_fat_N'}),0.020909543259898404,0.6473100288162377,0.013484030773773395,0.6448744769874477,0.9962374260858526,-5.0926276325809205e-05,0.993141715616132,-0.0038426190094948223
864,"frozenset({'homeowner_N', 'gender_M', 'yearly_income_$30K - $50K'})",frozenset({'low_fat_N'}),0.07159222016261763,0.6473100288162377,0.04616612807095247,0.644848392270679,0.9961971289861516,-0.00017623402552997824,0.9930687726255916,-0.004094920604711678
865,"frozenset({'homeowner_Y', 'gender_M', 'yearly_income_$30K - $50K'})",frozenset({'low_fat_N'}),0.09591378094191368,0.6473100288162377,0.06209981244839597,0.6474545350892196,1.0002232412083065,1.3860143011523718e-05,1.0004098940062056,0.0002468695773564739
866,"frozenset({'recyclable_N', 'gender_M', 'yearly_income_$30K - $50K'})",frozenset({'low_fat_N'}),0.07345680024933975,0.6473100288162377,0.046614502168052796,0.6345838916182819,0.980339965964642,-0.0009348213180959269,0.9651735736163499,-0.021185669999851987
867,"frozenset({'recyclable_Y', 'gender_M', 'yearly_income_$30K - $50K'})",frozenset({'low_fat_N'}),0.09404920085519157,0.6473100288162377,0.061651438351295634,0.6555232558139534,1.0126882430861386,0.0007724474355774516,1.0238426167697403,0.013829965922287938
868,"frozenset({'homeowner_N', 'recyclable_N', 'education_High School Degree'})",frozenset({'yearly_income_$30K - $50K'}),0.051661444748828486,0.3291722029931705,0.040610663648343474,0.7860922946655376,2.3880883243408224,0.02360515207056164,3.1360618634935795,0.6129193164007397
869,"frozenset({'homeowner_N', 'recyclable_N', 'yearly_income_$30K - $50K'})",frozenset({'education_High School Degree'}),0.062077940541220344,0.29537463843003453,0.040610663648343474,0.6541883202677706,2.214774849136983,0.022274414406499334,2.0375985048150325,0.5847893546428322
870,"frozenset({'homeowner_N', 'recyclable_Y', 'yearly_income_$30K - $50K'})",frozenset({'education_High School Degree'}),0.07956453032813329,0.29537463843003453,0.05203873514760803,0.6540443955741873,2.214287587622764,0.028537390770080145,2.036750821653668,0.5957913367292934
871,"frozenset({'homeowner_N', 'education_High School Degree', 'recyclable_Y'})",frozenset({'yearly_income_$30K - $50K'}),0.06591099227374879,0.3291722029931705,0.05203873514760803,0.7895304463248715,2.3985331663659712,0.0303426686193923,3.187291393425433,0.6242215829067795
872,"frozenset({'homeowner_N', 'low_fat_N', 'education_High School Degree'})",frozenset({'yearly_income_$30K - $50K'}),0.07617438471591127,0.3291722029931705,0.06014227675617745,0.789534132510229,2.3985443647154185,0.035067786727591636,3.187347216951617,0.631158582160384
873,"frozenset({'homeowner_N', 'low_fat_N', 'yearly_income_$30K - $50K'})",frozenset({'education_High School Degree'}),0.09160501522831536,0.29537463843003453,0.06014227675617745,0.65653912732048,2.2227335793285943,0.03308447850473599,2.051544783173729,0.605577458279192
874,"frozenset({'homeowner_N', 'education_High School Degree', 'yearly_income_$30K - $50K'})",frozenset({'low_fat_N'}),0.09264939879595151,0.6473100288162377,0.06014227675617745,0.6491383380547687,1.0028244722886104,0.0001693917517629831,1.0052109119827872,0.0031041111454973916
875,"frozenset({'homeowner_N', 'low_fat_Y', 'education_High School Degree'})",frozenset({'yearly_income_$30K - $50K'}),0.04139805230666601,0.3291722029931705,0.032507122039774065,0.7852331264033814,2.3854782368111227,0.018880033962362312,3.1235161446117514,0.6058790592677715
